,Ferrero,Mondelez,LindtSpruengli
2019-01-31,,39.095,
2019-02-28,,41.495,
2019-03-31,,42.429047619047616,
2019-04-30,,44.42125,
2019-05-31,,46.047045454545454,
2019-06-30,,47.86815789473684,
2019-07-31,,48.90673913043479,
2019-08-31,,48.591818181818184,
2019-09-30,,50.05666666666667,
2019-10-31,,48.78068181818182,
2019-11-30,,47.16738095238095,
2019-12-31,,48.576388888888886,
2020-01-31,,49.58500000000001,
2020-02-29,,53.2895,
2020-03-31,,45.23772727272728,
2020-04-30,,47.93275,
2020-05-31,,46.00675,
2020-06-30,,46.14071428571429,
2020-07-31,,46.371086956521744,
2020-08-31,,47.785000000000004,
2020-09-30,,48.51590909090908,
2020-10-31,,48.15068181818182,
2020-11-30,,48.07833333333333,
2020-12-31,,47.58675,
2021-01-31,,46.87825,
2021-02-28,,45.62075,
2021-03-31,,47.85956521739131,
2021-04-30,6.053684210526316,49.41375,
2021-05-31,6.6290000000000004,51.3635,
2021-06-30,7.980909090909091,52.378181818181815,
2021-07-31,7.496363636363636,53.60590909090909,
2021-08-31,8.288181818181819,53.16727272727273,
2021-09-30,8.03,51.44295454545454,
2021-10-31,8.156190476190476,51.61571428571429,
2021-11-30,7.600909090909091,54.11363636363637,
2021-12-31,6.818095238095238,55.87380952380952,
2022-01-31,7.072380952380953,59.46476190476191,
2022-02-28,6.723000000000001,58.841499999999996,
2022-03-31,5.966956521739131,56.05304347826087,
2022-04-30,6.524210526315789,59.768421052631574,
2022-05-31,5.841818181818183,60.52590909090909,
2022-06-30,5.640909090909091,57.66909090909091,
2022-07-31,5.221904761904762,61.06523809523809,
2022-08-31,5.14695652173913,63.345652173913045,
2022-09-30,5.067727272727272,60.51181818181818,
2022-10-31,4.6033333333333335,58.7452380952381,
2022-11-30,4.847727272727273,63.37590909090909,
2022-12-31,4.616666666666667,63.31809523809524,
2023-01-31,4.829999999999999,61.08727272727273,
2023-02-28,4.9905,61.455,
2023-03-31,4.939130434782609,62.41782608695653,
2023-04-30,5.5311111111111115,64.9088888888889,
2023-05-31,6.151818181818182,70.42454545454545,
2023-06-30,6.237272727272727,67.45363636363636,
2023-07-31,6.5009523809523815,65.92761904761905,
2023-08-31,6.390434782608695,66.4104347826087,
2023-09-30,6.006666666666667,66.11142857142856,
2023-10-31,5.974545454545455,61.14909090909091,
2023-11-30,5.920000000000001,64.55727272727273,
2023-12-31,6.994736842105263,65.29684210526315,
2024-01-31,7.033636363636364,67.56090909090909,
2024-02-29,7.287619047619048,68.15904761904761,
2024-03-31,7.368,65.599,
2024-04-30,7.957142857142857,63.79428571428572,
2024-05-31,8.200000000000001,64.74045454545454,
2024-06-30,8.442,62.1025,
2024-07-31,8.581739130434782,61.11086956521739,
2024-08-31,8.002727272727272,63.694545454545455,
2024-09-30,7.907619047619048,67.00761904761904,
2024-10-31,7.538260869565217,64.83695652173913,
2024-11-30,7.706666666666667,61.88047619047619,10.4212
2024-12-31,7.911111111111111,58.940000000000005,10.764555555555555
2025-01-31,8.355454545454545,55.73818181818182,11.03290909090909
2025-02-28,8.564,58.4825,11.3163
2025-03-31,8.333333333333334,60.88,12.243428571428572
2025-04-30,7.522,59.298,12.6009
2025-05-31,7.824761904761904,58.672380952380955,13.476190476190476
2025-06-30,8.003809523809524,58.12619047619048,14.08095238095238
2025-07-31,8.421739130434782,58.5695652173913,13.934782608695652
2025-08-31,8.2,53.41619047619048,12.290476190476191
2025-09-30,7.976363636363636,53.11363636363637,13.118181818181819
2025-10-31,7.195652173913044,52.46173913043478,13.521739130434783
2025-11-30,6.888,48.814,13.2
2025-12-31,6.186315789473684,46.69210526315789,12.34736842105263
2026-01-31,6.94095238095238,47.83357142857143,12.166666666666666
